Year,Loan Status,Value,Count,Yearly Total,Percentage Value
2005,Completed,78687,22,78687,100
2005,Current,0,0,78687,0
2005,Defaulted/Charged Off,0,0,78687,0
2005,Final Payment,0,0,78687,0
2005,Past Due < 120 Days,0,0,78687,0
2005,Past Due > 120 Days,0,0,78687,0
2005,Cancelled,0,0,78687,0
2006,Completed,17298830,3577,28132199,61.5
2006,Current,0,0,28132199,0
2006,Defaulted/Charged Off,10825869,2325,28132199,38.5
2006,Final Payment,0,0,28132199,0
2006,Past Due < 120 Days,0,0,28132199,0
2006,Past Due > 120 Days,0,0,28132199,0
2006,Cancelled,7500,4,28132199,0
2007,Completed,45908012,6936,80787786,56.8
2007,Current,0,0,80787786,0
2007,Defaulted/Charged Off,34879774,4524,80787786,43.2
2007,Final Payment,0,0,80787786,0
2007,Past Due < 120 Days,0,0,80787786,0
2007,Past Due > 120 Days,0,0,80787786,0
2007,Cancelled,0,0,80787786,0
2008,Completed,45385707,7743,69561850,65.2
2008,Current,0,0,69561850,0
2008,Defaulted/Charged Off,24175143,3808,69561850,34.8
2008,Final Payment,0,0,69561850,0
2008,Past Due < 120 Days,0,0,69561850,0
2008,Past Due > 120 Days,0,0,69561850,0
2008,Cancelled,1000,1,69561850,0
2009,Completed,7590107,1736,8914396,85.1
2009,Current,0,0,8914396,0
2009,Defaulted/Charged Off,1324289,311,8914396,14.9
2009,Final Payment,0,0,8914396,0
2009,Past Due < 120 Days,0,0,8914396,0
2009,Past Due > 120 Days,0,0,8914396,0
2009,Cancelled,0,0,8914396,0
2010,Completed,22654041,4688,26940486,84.1
2010,Current,270800,19,26940486,1
2010,Defaulted/Charged Off,3976145,937,26940486,14.8
2010,Final Payment,0,0,26940486,0
2010,Past Due < 120 Days,39500,8,26940486,0.1
2010,Past Due > 120 Days,0,0,26940486,0
2010,Cancelled,0,0,26940486,0
2011,Completed,35579535,5488,75138013,47.4
2011,Current,24040002,3261,75138013,32
2011,Defaulted/Charged Off,13223654,2145,75138013,17.6
2011,Final Payment,265457,39,75138013,0.4
2011,Past Due < 120 Days,2000365,291,75138013,2.7
2011,Past Due > 120 Days,29000,4,75138013,0
2011,Cancelled,0,0,75138013,0
2012,Completed,39661280,5518,153175116,25.9
2012,Current,87997452,10487,153175116,57.4
2012,Defaulted/Charged Off,18243762,2622,153175116,11.9
2012,Final Payment,429198,54,153175116,0.3
2012,Past Due < 120 Days,6778424,865,153175116,4.4
2012,Past Due > 120 Days,65000,7,153175116,0
2012,Cancelled,0,0,153175116,0
2013,Completed,20877251,2297,362170278,5.8
2013,Current,329808248,30743,362170278,91.1
2013,Defaulted/Charged Off,2637928,338,362170278,0.7
2013,Final Payment,873000,94,362170278,0.2
2013,Past Due < 120 Days,7935351,868,362170278,2.2
2013,Past Due > 120 Days,38500,5,362170278,0
2013,Cancelled,0,0,362170278,0
2014,Completed,610086,69,144995536,0.4
2014,Current,144058100,12066,144995536,99.4
2014,Defaulted/Charged Off,0,0,144995536,0
2014,Final Payment,143300,18,144995536,0.1
2014,Past Due < 120 Days,184050,19,144995536,0.1
2014,Past Due > 120 Days,0,0,144995536,0
2014,Cancelled,0,0,144995536,0
